index,Player,From,To,Pos,Ht,Wt,Birth Date,Colleges
jeffedo01,Dontell Jefferson,2009,2009,G,6-5,195,"December 15, 1983",Arkansas
jefferi01,Richard Jefferson,2002,2018,F,6-7,233,"June 21, 1980",Arizona
jeffrda01,DaQuan Jeffries,2020,2020,G-F,6-5,216,"August 30, 1997","Oral Roberts, Tulsa"
jeffrja01,Jared Jeffries,2003,2013,F,6-11,230,"November 25, 1981",Indiana
jenkich01,Charles Jenkins,2012,2013,G,6-3,220,"February 28, 1989",Hofstra
jenkiho01,Horace Jenkins,2005,2005,G,6-1,180,"October 14, 1974",William Paterson University
jenkijo01,John Jenkins,2013,2019,G,6-4,215,"March 6, 1991",Vanderbilt
jennibr01,Brandon Jennings,2010,2018,G,6-1,170,"September 23, 1989",
jennike01,Keith Jennings,1993,1995,G,5-7,160,"November 2, 1968",East Tennessee State University
jentch01,Chris Jent,1994,1997,F,6-7,220,"January 11, 1970",Ohio State
jepsele01,Les Jepsen,1991,1992,C,7-0,237,"June 24, 1967",Iowa
jerebjo01,Jonas Jerebko,2010,2019,F,6-10,231,"March 2, 1987",
jeromty01,Ty Jerome,2020,2020,G,6-5,195,"July 8, 1997",Virginia
jerregr01,Grant Jerrett,2015,2015,F,6-10,235,"July 8, 1993",Arizona
jetereu01,Eugene Jeter,2011,2011,G,5-11,175,"December 2, 1983",University of Portland
jeterha01,Hal Jeter,1970,1970,G,6-3,190,"May 17, 1945",Drake University
jianlyi01,Yi Jianlian,2008,2012,F,7-0,240,"October 27, 1987",
johnsbr01,Britton Johnsen,2004,2005,F,6-10,210,"July 8, 1979",Utah
johnsal01,Alexander Johnson,2007,2008,F,6-9,240,"February 8, 1983",Florida State
johnsal02,Alize Johnson,2019,2020,F,6-7,212,"April 22, 1996",Missouri State
johnsam01,Amir Johnson,2006,2019,F-C,6-9,240,"May 1, 1987",
johnsan01,Andy Johnson,1959,1962,F-G,6-5,215,"November 8, 1932",University of Portland
johnsan02,Anthony Johnson,1998,2010,G,6-3,190,"October 2, 1974",College of Charleston
johnsar02,Armon Johnson,2011,2012,G,6-3,195,"February 23, 1989",Nevada
johnsar01,Arnie Johnson,1949,1953,F-C,6-5,236,"May 16, 1920",Bemidji State University
johnsav01,Avery Johnson,1989,2004,G,5-10,175,"March 25, 1965","Cameron University, Southern University and A&M College"
johnsbj01,B.J. Johnson,2019,2020,G,6-7,200,"December 21, 1995","Syracuse, La Salle"
johnsbr02,Brice Johnson,2017,2018,F,6-10,230,"June 27, 1994",UNC
johnsbu01,Buck Johnson,1987,1993,F,6-7,190,"January 3, 1964",Alabama
johnsca02,Cameron Johnson,2020,2020,F,6-8,205,"March 3, 1996","Pitt, UNC"
johnsca01,Carldell Johnson,2012,2012,G,5-10,180,"January 28, 1983",University of Alabama at Birmingham
johnsch01,Charles Johnson,1973,1979,G,6-0,170,"March 31, 1949",California
johnsch02,Cheese Johnson,1980,1980,F-G,6-6,195,"September 7, 1957",Wichita State
johnsch03,Chris Johnson,2011,2013,C,6-11,210,"July 15, 1985",LSU
johnsch04,Chris Johnson,2013,2016,F-G,6-6,206,"April 29, 1990",Dayton
johnscl02,Clay Johnson,1982,1984,G,6-4,175,"July 18, 1956",Missouri
johnscl01,Clemon Johnson,1979,1988,C-F,6-10,240,"September 12, 1956",Florida A&M
johnsda04,Dakari Johnson,2018,2018,C,7-0,255,"September 22, 1995",Kentucky
johnsda02,Darryl Johnson,1996,1996,G,6-1,170,"October 26, 1965",Michigan State
johnsda01,Dave Johnson,1993,1994,G-F,6-7,210,"November 16, 1970",Syracuse
johnsde02,DeMarco Johnson,2000,2000,F,6-9,245,"October 6, 1975",UNC Charlotte
johnsde01,Dennis Johnson*,1977,1990,G,6-4,185,"September 18, 1954",Pepperdine
johnsde03,DerMarr Johnson,2001,2008,F,6-9,201,"May 5, 1980",Cincinnati
johnsed01,Ed Johnson,1969,1971,C,6-8,205,"June 17, 1944",Tennessee State
johnsed02,Eddie Johnson,1978,1987,G,6-2,180,"February 24, 1955",Auburn
johnsed03,Eddie Johnson,1982,1999,F-G,6-7,215,"May 1, 1959",Illinois
johnser01,Eric Johnson,1990,1990,G,6-2,205,"February 7, 1966","Baylor, Nebraska"
johnser02,Ervin Johnson,1994,2006,C,6-11,245,"December 21, 1967",New Orleans
johnsfr01,Frank Johnson,1982,1994,G,6-1,185,"November 23, 1958",Wake Forest
johnsge01,George Johnson,1971,1974,C,6-11,245,"June 19, 1947",Stephen F. Austin
johnsge02,George Johnson,1973,1986,C-F,6-11,205,"December 18, 1948",Dillard University
johnsge03,George Johnson,1979,1986,F-C,6-7,210,"December 8, 1956",St. John's
johnsgu01,Gus Johnson*,1964,1973,F-C,6-6,230,"December 13, 1938",Idaho
johnsha01,Harold Johnson,1947,1947,C,6-6,240,"January 30, 1920",Indiana State University
johnsiv01,Ivan Johnson,2012,2013,F,6-8,230,"April 10, 1984","Oregon, Cal State San Bernardino"
johnsja02,JaJuan Johnson,2012,2012,F,6-10,221,"February 8, 1989",Purdue
johnsja01,James Johnson,2010,2020,F,6-7,240,"February 20, 1987",Wake Forest
johnsjo02,Joe Johnson,2002,2018,G-F,6-7,240,"June 29, 1981",Arkansas
johnsjo01,John Johnson,1971,1982,F,6-7,200,"October 18, 1947",Iowa
johnska01,Kannard Johnson,1988,1988,F,6-9,220,"June 24, 1965",Western Kentucky
johnske04,Keldon Johnson,2020,2020,G,6-5,211,"October 11, 1999",Kentucky
johnske01,Ken Johnson,1986,1986,F,6-8,240,"November 7, 1962","USC, Michigan State"
johnske03,Ken Johnson,2003,2003,F-C,6-11,240,"February 1, 1978",Ohio State
johnske02,Kevin Johnson,1988,2000,G,6-1,180,"March 4, 1966",California
johnsla01,Larry Johnson,1978,1978,G,6-3,205,"November 28, 1954",Kentucky
johnsla02,Larry Johnson,1992,2001,F,6-6,250,"March 14, 1969",UNLV
johnsle01,Lee Johnson,1981,1981,F,6-11,205,"June 16, 1957","University of Montana, East Texas State University"
johnsli01,Linton Johnson,2004,2009,F,6-8,205,"June 13, 1980",Tulane
johnsma02,Magic Johnson*,1980,1996,G-F,6-9,215,"August 14, 1959",Michigan State
johnsma01,Marques Johnson,1978,1990,F-G,6-7,218,"February 8, 1956",UCLA
johnsmi01,Mickey Johnson,1975,1986,F,6-10,190,"August 31, 1952",Aurora University
johnsne02,Neil Johnson,1967,1973,F-C,6-7,220,"April 17, 1943",Creighton
johnsni01,Nick Johnson,2015,2015,G,6-3,202,"December 22, 1992",Arizona
johnsol01,Ollie Johnson,1973,1982,F,6-6,200,"May 11, 1949",Temple
johnsom01,Omari Johnson,2018,2018,F,6-9,220,"November 26, 1989",Oregon State
johnsor01,Orlando Johnson,2013,2016,G,6-5,220,"March 11, 1989","Loyola Marymount University, UC Santa Barbara"
johnsra01,Ralph Johnson,1950,1953,G,5-11,170,"December 6, 1921",Huntington University
johnsre01,Reggie Johnson,1981,1984,F-C,6-9,205,"June 25, 1957",Tennessee
johnsri01,Rich Johnson,1969,1971,C,6-7,210,"December 18, 1946",Grambling State University
johnsro01,Ron Johnson,1961,1961,F,6-8,215,"July 20, 1938",Minnesota
johnsst04,Stanley Johnson,2016,2020,F,6-6,245,"May 29, 1996",Arizona
johnsst02,Steffond Johnson,1987,1987,F,6-8,240,"November 4, 1962","LSU, San Diego State"
johnsst03,Steve Johnson,1982,1991,C-F,6-10,235,"November 3, 1957",Oregon State
johnsst01,Stew Johnson,1968,1976,F-C,6-8,220,"August 19, 1944",Murray State
johnstr01,Trey Johnson,2009,2012,G,6-5,218,"August 30, 1984","Alcorn State University, Jackson State University"
johnsty01,Tyler Johnson,2015,2020,G,6-3,190,"May 7, 1992",Fresno State
johnsvi01,Vinnie Johnson,1980,1992,G,6-2,200,"September 1, 1956",Baylor
johnswe01,Wesley Johnson,2011,2019,F-G,6-7,215,"July 11, 1987","Iowa State, Syracuse"
johnsda03,Darius Johnson-Odom,2013,2014,G,6-2,215,"September 28, 1989",Marquette
johnsna01,Nate Johnston,1990,1990,F,6-8,210,"December 18, 1966",University of Tampa
johnsne01,Neil Johnston*,1952,1959,C,6-8,210,"February 4, 1929",Ohio State
johnsji01,Jim Johnstone,1983,1983,C-F,6-11,245,"September 20, 1960",Wake Forest
jokicni01,Nikola Jokić,2016,2020,C-F,7-0,253,"February 19, 1995",
jolifho01,Howie Jolliff,1961,1963,F-C,6-7,218,"July 20, 1938",Ohio University
jonesal01,Alvin Jones,2002,2002,C,6-11,265,"September 9, 1978",Georgia Tech
jonesan01,Anthony Jones,1987,1990,G-F,6-6,195,"September 13, 1962","Georgetown, UNLV"
jonesas01,Askia Jones,1995,1995,G,6-5,200,"December 3, 1971",Kansas State
jonesbi01,Bill Jones,1989,1989,F,6-7,175,"March 18, 1966",Iowa
jonesbo01,Bobby Jones*,1975,1986,F,6-9,210,"December 18, 1951",UNC
jonesbo02,Bobby Jones,2007,2008,F,6-7,215,"January 9, 1984",Washington
jonesca01,Caldwell Jones,1974,1990,C-F,6-11,217,"August 4, 1950",Albany State University
jonesch01,Charles Jones,1984,1998,F-C,6-9,215,"April 3, 1957",Albany State University
jonesch02,Charles Jones,1985,1989,F,6-8,215,"January 12, 1962",Louisville
jonesch03,Charles Jones,1999,2000,G,6-3,180,"July 17, 1975","Rutgers University, Long Island University"
jonesco01,Collis Jones,1972,1975,F,6-7,203,"July 3, 1949",Notre Dame
jonesda02,Dahntay Jones,2004,2017,G-F,6-6,225,"December 27, 1980","Rutgers University, Duke"
jonesda03,Damian Jones,2017,2020,F-C,6-11,245,"June 30, 1995",Vanderbilt
jonesda01,Damon Jones,1999,2009,G,6-3,185,"August 25, 1976",Houston
jonesde01,DeQuan Jones,2013,2013,F,6-8,221,"June 20, 1990",Miami (FL)
jonesde02,Derrick Jones,2017,2020,F,6-6,210,"February 15, 1997",UNLV
jonesdo02,Dominique Jones,2011,2013,G,6-4,215,"October 15, 1988",South Florida
jonesdo01,Dontae' Jones,1998,1998,F,6-8,220,"June 2, 1975","Northeast Mississippi Community College, Mississippi State"
jonesdw02,Dwayne Jones,2006,2010,F-C,6-11,250,"June 9, 1983",Saint Joseph's
jonesdw01,Dwight Jones,1974,1983,F-C,6-10,210,"February 27, 1952",Houston
jonesea01,Earl Jones,1985,1986,C,7-0,210,"January 13, 1961",University of the District of Columbia
jonesed02,Eddie Jones,1995,2008,G-F,6-6,190,"October 20, 1971",Temple
jonesed01,Edgar Jones,1981,1986,F-C,6-10,225,"June 17, 1956",Nevada
jonesfr01,Fred Jones,2003,2009,G-F,6-4,210,"March 11, 1979",Oregon
joneshu01,Hutch Jones,1983,1984,F,6-8,190,"September 1, 1959","Buffalo State, Vanderbilt"
jonesja01,Jake Jones,1972,1972,G,6-3,180,"May 9, 1949",Assumption College
jonesja04,Jalen Jones,2018,2019,G,6-7,220,"May 27, 1993",Texas A&M
jonesja02,James Jones,2004,2017,F-G,6-8,218,"October 4, 1980",Miami (FL)
jonesje01,Jemerrio Jones,2019,2019,F,6-5,174,"April 9, 1995","Hill College, New Mexico State"
jonesji01,Jimmy Jones,1968,1977,G,6-4,188,"January 1, 1945",Grambling State University
jonesjo01,Johnny Jones,1968,1969,F,6-7,205,"March 12, 1943","California State University, Los Angeles"
jonesju01,Jumaine Jones,2000,2007,F,6-8,218,"February 10, 1979",Georgia
joneskc01,K.C. Jones*,1959,1967,G,6-1,200,"May 25, 1932",San Francisco
joneske01,Kevin Jones,2013,2013,F,6-8,251,"August 25, 1989",West Virginia
jonesla01,Larry Jones,1965,1974,G-F,6-2,180,"September 22, 1942",Toledo
jonesma01,Major Jones,1980,1985,F,6-9,225,"July 9, 1953",Albany State University
jonesma02,Mark Jones,1984,1984,G,6-1,175,"April 10, 1961",St. Bonaventure
jonesma03,Mark Jones,2005,2005,G,6-6,215,"May 25, 1975","Minnesota, Central Florida"
jonesni01,Nick Jones,1968,1973,G,6-2,190,"March 28, 1945",Oregon
jonesoz01,Ozell Jones,1985,1986,C-F,6-11,235,"November 20, 1960","Wichita State, California State University, Fullerton"
jonespe01,Perry Jones,2013,2015,F,6-11,235,"September 24, 1991",Baylor
jonespo01,Popeye Jones,1994,2004,F,6-8,250,"June 17, 1970",Murray State
jonesri01,Rich Jones,1970,1977,F-C,6-6,220,"December 27, 1946",Memphis
jonesro01,Robin Jones,1977,1978,F-C,6-9,225,"February 2, 1954",Saint Louis
jonessa01,Sam Jones*,1958,1969,G-F,6-4,198,"June 24, 1933",NC Central
jonessh01,Shelton Jones,1989,1989,F,6-9,210,"April 6, 1966",St. John's
jonesso01,Solomon Jones,2007,2014,F,6-10,230,"July 16, 1984",South Florida
jonesst01,Steve Jones,1968,1976,G-F,6-5,205,"October 17, 1942",Oregon
joneste01,Terrence Jones,2013,2019,F,6-9,252,"January 9, 1992",Kentucky
jonesty01,Tyus Jones,2016,2020,G,6-0,196,"May 10, 1996",Duke
joneswa01,Wah Wah Jones,1950,1952,F,6-4,225,"July 14, 1926",Kentucky
joneswa02,Wali Jones,1965,1976,G,6-2,180,"February 14, 1942",Villanova
joneswi02,Wil Jones,1970,1978,F,6-8,205,"February 27, 1947",Albany State University
joneswi01,Willie Jones,1961,1965,G,6-3,185,"June 29, 1936",Northwestern
jordaad01,Adonis Jordan,1994,1999,G,5-11,170,"August 21, 1970",Kansas
jordach01,Charles Jordan,1976,1976,F,6-8,220,"January 31, 1954",Canisius
jordade01,DeAndre Jordan,2009,2020,C,6-11,265,"July 21, 1988",Texas A&M
jordaed01,Eddie Jordan,1978,1984,G,6-1,170,"January 29, 1955",Rutgers University
jordaje01,Jerome Jordan,2012,2015,C,7-0,253,"September 29, 1986",Tulsa
jordami01,Michael Jordan*,1985,2003,G-F,6-6,195,"February 17, 1963",UNC
jordare01,Reggie Jordan,1994,2000,G,6-4,195,"January 26, 1968",New Mexico State
jordath01,Thomas Jordan,1993,1993,F-C,6-10,220,"May 23, 1968",Oklahoma State
jordawa01,Walter Jordan,1981,1981,F,6-7,198,"February 19, 1956",Purdue
jordoph01,Phil Jordon,1957,1963,C-F,6-10,205,"September 12, 1933",Whitworth
jorgejo01,Johnny Jorgensen,1948,1949,G-F,6-2,185,"December 28, 1921",DePaul
jorgeno01,Noble Jorgensen,1947,1953,C,6-9,228,"May 18, 1925",Iowa
jorgero01,Roger Jorgensen,1947,1947,C-F,6-5,200,"September 2, 1920",Ohio State
josepco01,Cory Joseph,2012,2020,G,6-3,200,"August 20, 1991",Texas
josepga01,Garth Joseph,2001,2001,C,7-2,315,"August 8, 1973",College of Saint Rose
josepkr01,Kris Joseph,2013,2013,F,6-7,210,"December 17, 1988",Syracuse
josepyv01,Yvon Joseph,1986,1986,C,6-11,245,"October 31, 1957",Georgia Tech
joyceke01,Kevin Joyce,1974,1976,G,6-3,190,"June 27, 1951",South Carolina
joynebu01,Butch Joyner,1969,1969,F,6-5,200,"April 26, 1945",Indiana
judkije01,Jeff Judkins,1979,1983,G-F,6-6,185,"March 23, 1956",Utah
kabenmf01,Mfiondu Kabengele,2020,2020,F,6-9,250,"August 14, 1997",Florida State
kachawh01,Whitey Kachan,1949,1949,G,6-2,175,"September 15, 1925",DePaul
kaftage01,George Kaftan,1949,1953,F,6-3,190,"February 22, 1928",Holy Cross
kalafed01,Ed Kalafat,1955,1957,C-F,6-6,245,"October 13, 1932",Minnesota
kamanch01,Chris Kaman,2004,2016,C,7-0,265,"April 28, 1982",Central Michigan University
kaminfr01,Frank Kaminsky,2016,2020,F-C,7-0,240,"April 4, 1993",Wisconsin
kanteen01,Enes Kanter,2012,2020,C,6-10,262,"May 20, 1992",
kaplora01,Ralph Kaplowitz,1947,1948,G-F,6-2,170,"May 18, 1919",NYU
kaponja01,Jason Kapono,2004,2012,F,6-8,213,"February 4, 1981",UCLA
kappeto01,Tony Kappen,1947,1947,G,5-10,165,"April 13, 1919",
karasse01,Sergey Karasev,2014,2016,G-F,6-7,208,"October 26, 1993",
karlco01,Coby Karl,2008,2010,G,6-5,215,"March 6, 1983",Boise State
karlge01,George Karl,1974,1978,G,6-2,190,"May 12, 1951",UNC
kasided01,Ed Kasid,1947,1947,G,5-11,185,"August 13, 1923",
kasunma01,Mario Kasun,2005,2006,C,7-1,260,"April 5, 1980",
katkale01,Leo Katkaveck,1949,1950,G,6-0,185,"April 17, 1923",NC State
kauffbo01,Bob Kauffman,1969,1975,F-C,6-8,240,"July 13, 1946",Guilford College
kaunsa01,Sasha Kaun,2016,2016,C,6-11,260,"May 8, 1985",Kansas
kautzwi01,Wilbert Kautz,1947,1947,G-F,6-0,180,"September 7, 1915",Loyola Chicago
keacl01,Clarence Kea,1981,1982,F,6-6,218,"February 2, 1959",Lamar University
kearnmi01,Mike Kearns,1955,1955,G,6-2,178,"June 18, 1929",Princeton
kearnto01,Tommy Kearns,1959,1959,G,5-11,185,"October 6, 1936",UNC
keefead01,Adam Keefe,1993,2001,F,6-9,230,"February 22, 1970",Stanford
keeliha01,Harold Keeling,1986,1986,G,6-4,185,"September 18, 1963",Santa Clara
kellebi01,Bill Keller,1970,1976,G,5-10,177,"August 30, 1947",Purdue
kellega01,Gary Keller,1968,1969,F-C,6-9,220,"June 13, 1944",Florida
kelleke01,Ken Keller,1947,1947,G,6-1,180,"August 16, 1922",St. John's
kelleri01,Rich Kelley,1976,1986,C-F,7-0,235,"March 23, 1953",Stanford
kellocl01,Clark Kellogg,1983,1987,F,6-7,225,"July 2, 1961",Ohio State
kellyar01,Arvesta Kelly,1968,1972,G,6-2,175,"November 20, 1945",Lincoln University of Missouri
kellyje01,Jerry Kelly,1947,1948,F,6-2,172,"June 14, 1918",Marshall
kellyry01,Ryan Kelly,2014,2017,F,6-11,230,"April 9, 1991",Duke
kellyto01,Tom Kelly,1949,1949,G,6-0,170,"March 5, 1924",NYU
kelsegr01,Greg Kelser,1980,1985,F,6-7,190,"September 17, 1957",Michigan State
kelsobe01,Ben Kelso,1974,1974,G,6-3,195,"April 11, 1949",Central Michigan University
kempsh01,Shawn Kemp,1990,2003,F-C,6-10,230,"November 26, 1969",Trinity Valley Community College
kemptti01,Tim Kempton,1987,1998,F-C,6-10,245,"January 25, 1964",Notre Dame
kendrfr01,Frank Kendrick,1975,1975,F,6-6,198,"September 11, 1950",Purdue
kennalu01,Luke Kennard,2018,2020,G,6-5,206,"June 24, 1996",Duke
kennedj01,D.J. Kennedy,2012,2012,F,6-6,215,"November 5, 1989",St. John's
kennego01,Goo Kennedy,1972,1977,F-C,6-5,205,"August 23, 1949",TCU
kennejo01,Joe Kennedy,1969,1971,F,6-6,210,"January 12, 1947",Duke
kennepi01,Pickles Kennedy,1961,1961,G,5-11,180,"May 17, 1938",Temple
kenonla01,Larry Kenon,1974,1983,F,6-9,205,"December 13, 1952",Memphis
kenvibi01,Billy Kenville,1954,1960,G-F,6-2,187,"December 1, 1930",St. Bonaventure
kernejo01,Jonathan Kerner,1999,1999,C,6-11,245,"June 6, 1974","Florida State, East Carolina University"
kerrre01,Red Kerr,1955,1966,C-F,6-9,230,"July 17, 1932",Illinois
kerrst01,Steve Kerr,1989,2003,G,6-3,175,"September 27, 1965",Arizona
kerrija01,Jack Kerris,1950,1953,F-C,6-6,215,"January 30, 1925",Loyola Chicago
kerseje01,Jerome Kersey,1985,2001,F,6-7,215,"June 26, 1962",Longwood University
kerwito01,Tom Kerwin,1968,1968,F,6-7,210,"July 7, 1944",Centenary College of Louisiana
kesslal01,Alec Kessler,1991,1994,F-C,6-11,230,"January 13, 1967",Georgia
ketnela01,Lari Ketner,2000,2001,F-C,6-9,277,"February 1, 1977",UMass
keyeju01,Julius Keye,1970,1975,F-C,6-10,200,"September 5, 1946",Alcorn State University
keysra01,Randolph Keys,1989,1996,F-G,6-7,195,"April 19, 1966",University of Southern Mississippi
khryavi01,Viktor Khryapa,2005,2008,F,6-9,210,"August 3, 1982",
kiddja01,Jason Kidd*,1995,2013,G,6-4,205,"March 23, 1973",California
kiddst01,Stanton Kidd,2020,2020,F,6-6,215,"March 18, 1992","South Plains College, NC Central, Colorado State"
kiddwa01,Warren Kidd,1994,1994,F,6-9,235,"September 9, 1970",Middle Tennessee State University
kiddgmi01,Michael Kidd-Gilchrist,2013,2020,F,6-6,232,"September 26, 1993",Kentucky
kiffiir01,Irv Kiffin,1980,1980,F,6-9,225,"August 8, 1951",Oklahoma Baptist University
kileyja01,Jack Kiley,1952,1953,G,6-1,170,"January 5, 1929",Syracuse
killuea01,Earnie Killum,1971,1971,G,6-3,180,"June 11, 1948",Stetson University
kilpaca01,Carl Kilpatrick,1980,1980,C,6-10,230,"May 16, 1956",University of Louisiana at Monroe
kilpase01,Sean Kilpatrick,2015,2018,G,6-4,210,"January 6, 1990",Cincinnati
kimbato01,Toby Kimball,1967,1975,F-C,6-6,220,"September 7, 1942",UConn
kimblbo01,Bo Kimble,1991,1993,G,6-4,190,"April 9, 1966","USC, Loyola Marymount University"
kimbrst01,Stan Kimbrough,1990,1993,G,5-11,153,"April 24, 1966","Central Florida, Xavier"
kinchch01,Chad Kinch,1981,1981,G,6-4,190,"May 22, 1958",UNC Charlotte
kingal01,Albert King,1982,1992,F-G,6-6,190,"December 17, 1959",Maryland
kingbe01,Bernard King*,1978,1993,F,6-7,205,"December 4, 1956",Tennessee
kingch01,Chris King,1994,1999,F,6-8,215,"July 24, 1969",Wake Forest
kingda01,Dan King,1955,1955,F,6-6,220,"January 7, 1931",Western Kentucky
kingfr01,Frankie King,1996,1997,G,6-1,185,"June 6, 1972",Western Carolina University
kingge01,George King,1952,1958,G,6-0,175,"August 16, 1928",University of Charleston
kingge03,George King,2019,2019,G-F,6-6,225,"January 15, 1994",Colorado
kingge02,Gerard King,1999,2001,F,6-9,230,"November 25, 1972",Nicholls State University
kingji01,Jim King,1964,1973,G,6-2,175,"February 7, 1941",Tulsa
kingji02,Jimmy King,1996,1997,G,6-5,210,"August 9, 1973",Michigan
kinglo02,Louis King,2020,2020,F,6-7,195,"April 6, 1999",Oregon
kinglo01,Loyd King,1972,1973,G,6-2,180,"May 29, 1949",Virginia Tech
kingma01,Maurice King,1960,1963,G,6-2,195,"March 12, 1935",Kansas
kingre01,Reggie King,1980,1985,F,6-6,225,"February 14, 1957",Alabama
kingri01,Rich King,1992,1995,C,7-2,260,"April 4, 1969",Nebraska
kingro01,Ron King,1974,1974,G,6-4,185,"July 11, 1951",Florida State
kingst01,Stacey King,1990,1997,F-C,6-11,230,"January 29, 1967",Oklahoma
kingto01,Tom King,1947,1947,G,6-0,165,"March 9, 1924",Michigan
kinnebo01,Bob Kinney,1949,1950,C-F,6-6,215,"September 16, 1920",Rice University
kinseta01,Tarence Kinsey,2007,2009,G,6-6,185,"March 21, 1984",South Carolina
kirilan01,Andrei Kirilenko,2002,2015,F,6-9,220,"February 18, 1981",
kirkal01,Alex Kirk,2015,2015,C,7-0,245,"November 14, 1991",New Mexico
kirkwa01,Walt Kirk,1949,1952,G-F,6-3,173,"September 3, 1924",Illinois
kirklwi01,Wilber Kirkland,1970,1970,F,6-7,190,,Cheyney University of Pennsylvania
kissaji01,Jim Kissane,1969,1969,F,6-7,210,"August 17, 1946",Boston College
kistldo01,Doug Kistler,1962,1962,F,6-9,210,"March 21, 1938",Duke
kitchcu01,Curtis Kitchen,1987,1987,F,6-9,235,"January 30, 1964",South Florida
kitegr01,Greg Kite,1984,1995,C,6-11,250,"August 5, 1961",BYU
kittlke01,Kerry Kittles,1997,2005,G,6-5,179,"June 12, 1974",Villanova
klebima01,Maxi Kleber,2018,2020,F,6-10,240,"January 29, 1992",
kleinjo01,Joe Kleine,1986,2000,C,6-11,255,"January 4, 1962","Notre Dame, Arkansas"
kleizli01,Linas Kleiza,2006,2013,F,6-8,245,"January 3, 1985",Missouri
klierle01,Leo Klier,1949,1950,F-G,6-2,170,"May 21, 1923",Notre Dame
klotzhe01,Herm Klotz,1948,1948,G,5-7,150,"October 21, 1921",Villanova
kluehdu01,Duane Klueh,1950,1951,G,6-3,175,"January 6, 1926",Indiana State University
kluttlo01,Lonnie Kluttz,1971,1971,F,6-7,220,"September 17, 1945",North Carolina A&T
knighbi01,Billy Knight,1975,1985,G-F,6-6,195,"June 9, 1952",Pitt
knighbo01,Bob Knight,1955,1955,G-F,6-2,185,"April 30, 1929",
knighbr02,Brandin Knight,2005,2005,G,6-0,180,"December 16, 1981",Pitt
knighbr03,Brandon Knight,2012,2020,G,6-2,195,"December 2, 1991",Kentucky
knighbr01,Brevin Knight,1998,2009,G,5-10,173,"November 8, 1975",Stanford
knighne01,Negele Knight,1991,1999,G,6-1,175,"March 6, 1967",Dayton
knighro01,Ron Knight,1971,1972,F,6-7,215,"August 4, 1947","California State University, Los Angeles"
knighto01,Toby Knight,1978,1982,F,6-9,210,"May 3, 1955",Notre Dame
knightr01,Travis Knight,1997,2003,C,7-0,235,"September 13, 1974",UConn
knorele01,Lee Knorek,1947,1950,C,6-7,215,"July 15, 1921",Detroit Mercy
knostdi01,Dick Knostman,1954,1954,C,6-6,215,"August 9, 1931",Kansas State
knowlro01,Rod Knowles,1969,1969,F-C,6-9,215,"February 27, 1946",Davidson
knoxke01,Kevin Knox,2019,2020,F,6-7,215,"August 11, 1999",Kentucky
kofoeba01,Bart Kofoed,1988,1993,G,6-4,210,"March 24, 1964","Hastings College, University of Nebraska at Kearney"
kojisdo01,Don Kojis,1964,1975,F,6-5,215,"January 15, 1939",Marquette
komenmi01,Milo Komenich,1950,1950,F-C,6-7,212,"June 22, 1920",Wyoming
komivho01,Howard Komives,1965,1974,G,6-1,185,"May 9, 1941",Bowling Green
koncajo01,Jon Koncak,1986,1996,C-F,7-0,250,"May 17, 1963",SMU
konchjo01,John Konchar,2020,2020,G,6-5,210,"March 22, 1996",Purdue-Fort Wayne
kondlto01,Tom Kondla,1969,1969,C,6-8,225,"November 30, 1946",Minnesota
koperbu01,Bud Koper,1965,1965,G,6-6,210,"August 9, 1942",Oklahoma City University
kopicjo01,Joe Kopicki,1983,1985,F,6-9,240,"June 12, 1960",Detroit Mercy
korkmfu01,Furkan Korkmaz,2018,2020,G,6-7,190,"July 24, 1997",
kornefr01,Frank Kornet,1990,1991,F,6-9,225,"January 27, 1967",Vanderbilt
kornelu01,Luke Kornet,2018,2020,F,7-2,240,"July 15, 1995",Vanderbilt
korolya01,Yaroslav Korolev,2006,2007,F,6-9,203,"May 7, 1987",
korveky01,Kyle Korver,2004,2020,G-F,6-7,212,"March 17, 1981",Creighton
koskito01,Tony Koski,1969,1969,F,6-8,215,"June 26, 1946",Providence
kosmale01,Len Kosmalski,1975,1976,C,7-0,245,"November 29, 1951",Tennessee
kostean01,Andy Kostecka,1949,1949,F,6-3,203,"February 10, 1921",Georgetown
kottmha01,Harold Kottman,1947,1947,C,6-8,220,"August 22, 1922",Culver-Stockton College
koufoko01,Kosta Koufos,2009,2019,C,7-0,245,"February 24, 1989",Ohio State
kozelto01,Tom Kozelko,1974,1976,F,6-8,220,"July 1, 1951",Toledo
kozliro01,Ronald Kozlicki,1968,1968,F,6-7,215,"December 12, 1944",Northwestern
kramear01,Arvid Kramer,1980,1980,C,6-9,220,"October 2, 1956",Augustana College (SD)
krameba01,Barry Kramer,1965,1970,F-G,6-4,200,"November 10, 1942",NYU
kramejo01,Joel Kramer,1979,1983,F-C,6-7,203,"November 30, 1955",San Diego State
kramest01,Steven Kramer,1968,1970,G-F,6-5,200,"January 1, 1945",BYU
krausda01,Dan Kraus,1949,1949,G,6-0,195,"February 13, 1923",Georgetown
krauthe01,Herb Krautblatt,1949,1949,G,6-1,190,"November 19, 1926",Rider University
kravtvi01,Viacheslav Kravtsov,2013,2014,C,7-0,260,"August 25, 1987",
krebsji01,Jim Krebs,1958,1964,C-F,6-8,230,"September 8, 1935",SMU
